Player Name,ETV
Harry Wilson,€14.5M
Christian Nørgaard,€14.4M
Julian Araujo,€14.3M
Sammie Szmodics,€14.1M
Kenny Tete,€14M
Tommy Doyle,€14M
Patson Daka,€14M
Tim Iroegbunam,€13.8M
Harry Maguire,€13.7M
Bernd Leno,€13.7M
Guido Rodríguez,€13.6M
Lucas Digne,€13.6M
Jefferson Lerma,€13.6M
Mark Flekken,€13.6M
Tariq Lamptey,€13.6M
Victor Lindelöf,€13.5M
Niclas Füllkrug,€13.4M
Altay Bayındır,€13.2M
Aaron Anselmino,€13.2M
Julio Soler,€13.2M
Pedro Lima,€13.1M
Carlos Forbs,€13M
David Brooks,€13M
Jan Bednarek,€12.9M
David Datro Fofana,€12.9M
Stephy Mavididi,€12.9M
Paul Onuachu,€12.7M
Ben Johnson,€12.6M
Emerson Palmieri,€12.6M
Yerson Mosquera,€12.4M
Odsonne Édouard,€12.4M
Adam Webster,€12.2M
Saša Lukić,€12.1M
İlkay Gündoğan,€12.1M
Kepa Arrizabalaga,€12M
Alphonse Aréola,€11.8M
Ryan Sessegnon,€11.8M
James Tarkowski,€11.8M
Nick Pope,€11.7M
Casemiro,€11.6M
Harry Winks,€11.4M
Eiran Joe Cashin,€11.3M
James Ward-Prowse,€11.2M
Santiago Bueno,€11.2M
Will Hughes,€11.1M
Wataru Endo,€11.1M
Álex Moreno,€11M
Fabian Schär,€11M
Harry Souttar,€10.8M
Toby Collyer,€10.7M
Ben Godfrey,€10.5M
Andrés García,€10.4M
William Osula,€10.3M
Timo Werner,€10.3M
Arijanet Murić,€10.1M
Chiedozie Ogbene,€9.8M
Conor Chaplin,€9.8M
Jack Hinshelwood,€9.2M
Flynn Downes,€9.2M
Dan Burn,€9.1M
Juan Larios,€9.1M
Matz Sels,€9.1M
Vítězslav Jaroš,€8.9M
Oliver Scarles,€8.7M
José Sá,€8.5M
Yunus Konak,€8.4M
Nélson Semedo,€8.4M
Will Smallbone,€8.4M
Rodrigo Muniz,€8.2M
Adama Traoré,€8M
Tyler Morton,€7.9M
Matt Targett,€7.9M
Sam Johnstone,€7.9M
Jorge Cuenca,€7.8M
Luke Thomas,€7.8M
Chris Wood,€7.8M
George Hirst,€7.7M
Ethan Pinnock,€7.6M
Daniel Jebbison,€7.5M
Kieran Tierney,€7.4M
Lewis Dunk,€7.4M
Ross Barkley,€7.3M
Solly March,€7.3M
Callum Wilson,€7.3M
Matt Turner,€7M
Justin Devenny,€6.9M
Joe Aribo,€6.9M
Harrison Reed,€6.7M
Ayden Heaven,€6.7M
Andy Irving,€6.5M
Joachim Kayi Sanda,€6.3M
Saša Kalajdžić,€6.3M
Nathan Broadhead,€6.1M
Nathan Wood,€6.1M
Lamare Bogarde,€6M
Danny Welbeck,€6M
Abdoulaye Doucouré,€5.8M
Stefan Ortega,€5.8M
Tyrone Mings,€5.8M
Joël Veltman,€5.7M
Ben Davies,€5.6M
Sergio Reguilón,€5.6M
Joshua Dasilva,€5.4M
Jorginho,€5.3M
Kieran Trippier,€5.1M
Raúl Jiménez,€5.1M
Idrissa Gueye,€5M
Dane Scarlett,€4.9M
Pablo Sarabia,€4.9M
Vladimír Coufal,€4.8M
Danny Ings,€4.6M
Odysseas Vlachodimos,€4.6M
Matai Akinmboni,€4.6M
Carlos Miguel,€4.4M
Carl Rushworth,€4.4M
Joshua King,€4.4M
Eric da Silva Moreira,€4.3M
Axel Tuanzebe,€4.2M
Christian Eriksen,€4.2M
Matt Doherty,€4.2M
Jordan Ayew,€4.2M
Ricardo Pereira,€4.1M
Welington,€4M
Ryan Manning,€3.9M
Jack Taylor,€3.8M
Ross Stewart,€2.8M
Bobby Reid,€2.7M
Jamaal Lascelles,€2.7M
Hákon Rafn Valdimarsson,€2.4M
Carlos Vinícius,€2.4M
Michael Keane,€2.3M
Ryan Fraser,€2.3M
Michael Golding,€2.3M
Harry Toffolo,€2.2M
Conor Coady,€2.2M
Daniel Iversen,€2.1M
James Hill,€2.1M
Wes Burns,€2.1M
Charlie Taylor,€2.1M
Jannik Vestergaard,€2M
Emil Krafth,€2M
Jamal Lewis,€2M
Luke Woolfenden,€2M
James Bree,€1.9M
Woyo Coulibaly,€1.9M
Caleb Kporha,€1.7M
Cameron Burgess,€1.7M
Alex Palmer,€1.6M
Neto,€1.6M
Kortney Hause,€1.5M
Daniel Bentley,€1.5M
Adam Smith,€1.5M
Craig Dawson,€1.5M
Jason Steele,€1.5M
Kasey McAteer,€1.5M
Tom Cairney,€1.5M
Malcolm Ebiowei,€1.5M
Christian Walton,€1.4M
Jack Stephens,€1.4M
Willy Boly,€1.4M
Omari Kellyman,€1.4M
Ashley Young,€1.3M
Sam Morsy,€1.3M
Willian,€1.3M
Wesley Foderingham,€1.3M
Martin Dúbravka,€1.3M
Conor Townsend,€1.2M
Will Dennis,€1.2M
Cieran Slicker,€1.2M
James Milner,€1.2M
Jonny Evans,€1.1M
Nathaniel Clyne,€1M
Steven Benda,€1M
Kim Ji-Soo,€1M
Marcus Bettinelli,€1M
Jamie Vardy,€1M
Michail Antonio,€1.0M
Robin Olsen,€0.9M
Ben Mee,€0.9M
Danny Ward,€0.9M
Kaden Rodney,€0.9M
Adam Lallana,€0.9M
Łukasz Fabiański,€0.9M
Asmir Begović,€0.8M
Aaron Cresswell,€0.8M
Edmond-Paris Maghoma,€0.8M
Brandon Austin,€0.8M
Joe Lumley,€0.7M
John Ruddy,€0.7M
Séamus Coleman,€0.7M
Harry Amass,€0.7M
Jakub Stolarczyk,€0.7M
Fraser Forster,€0.7M
Joel Ward,€0.7M
Harvey Davies,€0.6M
Alex McCarthy,€0.6M
Tom King,€0.6M
Lucas Bergström,€0.6M
João Virgínia,€0.6M
Tom McGill,€0.5M
Massimo Luongo,€0.5M
Alfie Whiteman,€0.5M
Remi Matthews,€0.4M
Mark Gillespie,€0.4M
